Regio's;Groningen (PV);Groningen (PV);Groningen (PV);Groningen (PV);Groningen (PV);Groningen (PV);Groningen (PV);Groningen (PV);Fryslân (PV);Fryslân (PV);Fryslân (PV);Fryslân (PV);Fryslân (PV);Fryslân (PV);Fryslân (PV);Fryslân (PV);Drenthe (PV);Drenthe (PV);Drenthe (PV);Drenthe (PV);Drenthe (PV);Drenthe (PV);Drenthe (PV);Drenthe (PV);Overijssel (PV);Overijssel (PV);Overijssel (PV);Overijssel (PV);Overijssel (PV);Overijssel (PV);Overijssel (PV);Overijssel (PV);Flevoland (PV);Flevoland (PV);Flevoland (PV);Flevoland (PV);Flevoland (PV);Flevoland (PV);Flevoland (PV);Flevoland (PV);Gelderland (PV);Gelderland (PV);Gelderland (PV);Gelderland (PV);Gelderland (PV);Gelderland (PV);Gelderland (PV);Gelderland (PV);Utrecht (PV);Utrecht (PV);Utrecht (PV);Utrecht (PV);Utrecht (PV);Utrecht (PV);Utrecht (PV);Utrecht (PV);Noord-Holland (PV);Noord-Holland (PV);Noord-Holland (PV);Noord-Holland (PV);Noord-Holland (PV);Noord-Holland (PV);Noord-Holland (PV);Noord-Holland (PV);Zuid-Holland (PV);Zuid-Holland (PV);Zuid-Holland (PV);Zuid-Holland (PV);Zuid-Holland (PV);Zuid-Holland (PV);Zuid-Holland (PV);Zuid-Holland (PV);Zeeland (PV);Zeeland (PV);Zeeland (PV);Zeeland (PV);Zeeland (PV);Zeeland (PV);Zeeland (PV);Zeeland (PV);Noord-Brabant (PV);Noord-Brabant (PV);Noord-Brabant (PV);Noord-Brabant (PV);Noord-Brabant (PV);Noord-Brabant (PV);Noord-Brabant (PV);Noord-Brabant (PV);Limburg (PV);Limburg (PV);Limburg (PV);Limburg (PV);Limburg (PV);Limburg (PV);Limburg (PV);Limburg (PV)
Perioden;2012;2013;2014;2015;2016;2017;2018;2019;2012;2013;2014;2015;2016;2017;2018;2019;2012;2013;2014;2015;2016;2017;2018;2019;2012;2013;2014;2015;2016;2017;2018;2019;2012;2013;2014;2015;2016;2017;2018;2019;2012;2013;2014;2015;2016;2017;2018;2019;2012;2013;2014;2015;2016;2017;2018;2019;2012;2013;2014;2015;2016;2017;2018;2019;2012;2013;2014;2015;2016;2017;2018;2019;2012;2013;2014;2015;2016;2017;2018;2019;2012;2013;2014;2015;2016;2017;2018;2019;2012;2013;2014;2015;2016;2017;2018;2019
1. Kleding of sportartikelen;730;705;650;645;630;590;580;560;1005;965;920;910;905;855;830;815;665;640;615;585;575;560;540;510;1605;1525;1465;1475;1455;1405;1380;1370;490;460;415;425;410;395;390;390;2700;2570;2485;2475;2390;2325;2265;2200;1685;1635;1535;1505;1430;1360;1330;1355;4330;4145;3975;3945;3825;3635;3585;3495;4495;4325;4130;4100;3950;3705;3640;3520;715;665;660;665;645;625;610;590;3620;3485;3410;3345;3265;3100;3055;2955;1805;1760;1720;1695;1665;1605;1610;1600
2. Boeken, tijdschriften en kranten;90;85;85;75;70;65;60;55;105;100;90;90;80;85;80;55;55;55;50;45;45;45;80;75;135;140;135;130;125;95;90;85;40;35;35;35;105;110;105;110;250;235;225;220;215;190;190;175;165;165;275;280;260;255;250;235;390;425;410;400;390;380;360;345;330;320;310;290;280;270;265;260;145;130;125;120;115;115;115;75;230;235;220;205;200;180;170;165;180;190;170;175;165;160;160;160
3. Soft-/ hardware en elektronische benodig;185;180;175;170;175;170;165;170;320;310;275;290;295;270;250;260;185;190;185;175;185;170;165;160;470;465;455;450;450;425;405;420;125;140;115;135;140;145;130;130;865;845;840;810;795;770;775;780;425;460;410;440;435;415;405;420;1055;1050;985;1005;1005;945;915;920;1165;1180;1115;1160;1150;1135;1085;1070;145;130;125;125;125;120;115;110;925;895;845;795;770;765;730;715;440;435;400;390;385;355;350;350
4. Huishoudelijke goederen en apparaten;85;80;75;75;75;65;65;65;135;125;115;115;110;100;100;105;90;85;70;70;70;65;65;65;220;205;190;180;175;160;155;155;50;50;45;45;40;40;35;35;330;320;310;295;290;255;245;245;165;160;150;145;135;120;115;120;375;360;330;320;315;295;290;280;440;415;390;375;375;335;325;310;60;65;65;70;55;60;50;50;395;390;365;350;330;320;305;280;185;185;170;155;150;130;135;130
